date,btcPrice,m2Supply,sp500
5/20/2013,117.8186365,5.91667E+13,1666.3
5/27/2013,126.3929059,5.94902E+13,1666.3
6/3/2013,122.9491879,6.00724E+13,1640.4
6/10/2013,104.3575666,6.05598E+13,1642.8
6/17/2013,100.1263051,5.9755E+13,1639
6/24/2013,99.04568323,5.98816E+13,1573.1
7/1/2013,82.86757013,5.94136E+13,1615
7/8/2013,73.98855377,5.99075E+13,1640.5
7/15/2013,93.79615254,5.99381E+13,1682.5
7/22/2013,85.64902864,6.03116E+13,1695.5
7/29/2013,93.29869725,6.03371E+13,1685.3
8/5/2013,97.52713384,6.07322E+13,1707.1
8/12/2013,95.44647078,6.05833E+13,1689.5
8/19/2013,102.7840123,6.04471E+13,1646.1
8/26/2013,112.1181148,6.06161E+13,1656.8
9/2/2013,129.5653717,6.05585E+13,1656.8
9/9/2013,121.2592726,6.07847E+13,1671.7
9/16/2013,126.204666,6.11237E+13,1697.6
9/23/2013,122.865699,6.11969E+13,1701.8
9/30/2013,126.0902618,6.17033E+13,1681.5
10/7/2013,123.9068726,6.15945E+13,1676.1
10/14/2013,135.3391949,6.1968E+13,1710.1
10/21/2013,179.9106286,6.21129E+13,1744.7
10/28/2013,196.2746873,6.16578E+13,1762.1
11/4/2013,228.7910389,6.14864E+13,1767.9
11/11/2013,342.6976929,6.15547E+13,1771.9
11/18/2013,657.7785039,6.15467E+13,1791.5
11/25/2013,816.2433866,6.17827E+13,1802.5
12/2/2013,1040.808218,6.19317E+13,1800.9
12/9/2013,896.0792899,6.19231E+13,1808.4
12/16/2013,677.8941068,6.17482E+13,1786.5
12/23/2013,657.9266342,6.17862E+13,1828
12/30/2013,735.7419971,6.23147E+13,1841.1
1/6/2014,914.4599608,6.24847E+13,1826.8
1/13/2014,822.8770122,6.22536E+13,1819.2
1/20/2014,828.8852166,6.24845E+13,1819.2
1/27/2014,742.701375,6.27234E+13,1781.6
2/3/2014,806.9974284,6.28344E+13,1741.9
2/10/2014,685.4574988,6.30223E+13,1799.8
2/17/2014,631.3345963,6.28815E+13,1799.8
2/24/2014,542.2666508,6.31917E+13,1847.6
3/3/2014,676.5057328,6.32075E+13,1845.7
3/10/2014,628.1512412,6.32684E+13,1877.2
3/17/2014,622.7602086,6.28185E+13,1858.8
3/24/2014,585.0232505,6.28849E+13,1857.4
3/31/2014,455.3553541,6.3361E+13,1872.3
4/7/2014,448.6552751,6.373E+13,1845
4/14/2014,461.1082466,6.35393E+13,1830.6
4/21/2014,498.0845303,6.34835E+13,1871.9
4/28/2014,441.5478055,6.38736E+13,1869.4
5/5/2014,432.338179,6.39245E+13,1884.7
5/12/2014,441.2809556,6.3891E+13,1896.7
5/19/2014,447.4048568,6.37951E+13,1885.1
5/26/2014,584.8479749,6.40922E+13,1885.1
6/2/2014,663.5057238,6.4048E+13,1925
6/9/2014,648.3363223,6.41545E+13,1951.3
6/16/2014,590.5674822,6.41575E+13,1937.8
6/23/2014,589.5522998,6.4366E+13,1962.6
6/30/2014,638.946114,6.48664E+13,1960.2
7/7/2014,622.854979,6.49609E+13,1977.7
7/14/2014,619.1974591,6.4813E+13,1977.1
7/21/2014,621.3053314,6.47272E+13,1973.6
7/28/2014,587.493005,6.45025E+13,1978.9
8/4/2014,587.6083355,6.45656E+13,1939
8/11/2014,573.4414839,6.45677E+13,1936.9
8/18/2014,468.9579182,6.42212E+13,1971.7
8/25/2014,501.6102867,6.43082E+13,1997.9
9/1/2014,474.5414898,6.39954E+13,1997.9
9/8/2014,468.9754959,6.37244E+13,2001.5
9/15/2014,472.6556297,6.34233E+13,1984.1
9/22/2014,400.8816222,6.32106E+13,1994.3
9/29/2014,373.0645579,6.3068E+13,1977.8
10/6/2014,326.8035327,6.34248E+13,1964.8
10/13/2014,391.9942089,6.36276E+13,1874.7
10/20/2014,381.1908586,6.3438E+13,1904
10/27/2014,350.0157119,6.30102E+13,1961.6
11/3/2014,325.3618656,6.26401E+13,2017.8
11/10/2014,365.5022539,6.25084E+13,2038.3
11/17/2014,387.5010316,6.23454E+13,2041.3
11/24/2014,376.9942238,6.25714E+13,2069.4
12/1/2014,379.111979,6.21087E+13,2053.4
12/8/2014,363.2156768,6.22481E+13,2060.3
12/15/2014,347.0951815,6.18125E+13,1989.6
12/22/2014,331.8425845,6.17344E+13,2078.5
12/29/2014,313.0655316,6.21518E+13,2090.6
1/5/2015,275.0038515,6.20566E+13,2020.6
